"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  Houston Dynamo          0-1  San Jose Earthquakes","Tue","05.05","Houston Dynamo","San Jose Earthquakes",0,1
"  Real Salt Lake          0-0  LA Galaxy","Wed","06.05","Real Salt Lake","LA Galaxy",0,0
"  Orlando City SC         2-2  New England Revolution","Fri","08.05","Orlando City SC","New England Revolution",2,2
"  Colorado Rapids         1-1  San Jose Earthquakes","Fri","08.05","Colorado Rapids","San Jose Earthquakes",1,1
"  Chicago Fire            1-2  Real Salt Lake","Sat","09.05","Chicago Fire","Real Salt Lake",1,2
"  Montreal Impact         1-2  Portland Timbers","Sat","09.05","Montreal Impact","Portland Timbers",1,2
"  D.C. United             1-1  Sporting Kansas City","Sat","09.05","D.C. United","Sporting Kansas City",1,1
"  Vancouver Whitecaps FC  3-0  Philadelphia Union","Sat","09.05","Vancouver Whitecaps FC","Philadelphia Union",3,0
"  Columbus Crew SC        3-2  Seattle Sounders FC","Sat","09.05","Columbus Crew SC","Seattle Sounders FC",3,2
"  FC Dallas               2-1  LA Galaxy","Sat","09.05","FC Dallas","LA Galaxy",2,1
"  Toronto FC              1-2  Houston Dynamo","Sun","10.05","Toronto FC","Houston Dynamo",1,2
"  New York Red Bulls      2-1  New York City FC","Sun","10.05","New York Red Bulls","New York City FC",2,1
"  D.C. United             2-1  Orlando City SC","Wed","13.05","D.C. United","Orlando City SC",2,1
"  New York City FC        2-2  Chicago Fire","Fri","15.05","New York City FC","Chicago Fire",2,2
"  FC Dallas               0-0  New York Red Bulls","Fri","15.05","FC Dallas","New York Red Bulls",0,0
"  Montreal Impact         4-1  Real Salt Lake","Sat","16.05","Montreal Impact","Real Salt Lake",4,1
"  Vancouver Whitecaps FC  0-2  Seattle Sounders FC","Sat","16.05","Vancouver Whitecaps FC","Seattle Sounders FC",0,2
"  New England Revolution  1-1  Toronto FC","Sat","16.05","New England Revolution","Toronto FC",1,1
"  Houston Dynamo          3-1  Portland Timbers","Sat","16.05","Houston Dynamo","Portland Timbers",3,1
"  Sporting Kansas City    0-0  Colorado Rapids","Sat","16.05","Sporting Kansas City","Colorado Rapids",0,0
"  San Jose Earthquakes    2-0  Columbus Crew SC","Sat","16.05","San Jose Earthquakes","Columbus Crew SC",2,0
"  Orlando City SC         4-0  LA Galaxy","Sun","17.05","Orlando City SC","LA Galaxy",4,0
"  Philadelphia Union      1-0  D.C. United ","Sun","17.05","Philadelphia Union","D.C. United",1,0
"  Sporting Kansas City    4-2  New England Revolution","Wed","20.05","Sporting Kansas City","New England Revolution",4,2
"  Columbus Crew SC        2-2  Chicago Fire","Fri","22.05","Columbus Crew SC","Chicago Fire",2,2
"  LA Galaxy               1-0  Houston Dynamo","Fri","22.05","LA Galaxy","Houston Dynamo",1,0
"  Toronto FC              1-0  Portland Timbers","Sat","23.05","Toronto FC","Portland Timbers",1,0
"  New England Revolution  1-1  D.C. United ","Sat","23.05","New England Revolution","D.C. United",1,1
